"10000","1.0"
"10001","1.0"
"10002","1.0"
"10003","1.0"
"10004","1.0"
"10005",""
"10006",""
"10007","1.0"
"10008","0.5"
"10009",""
"10010","0.0"
"10011",""
"10012",""
"10013",""
"10014",""
"10015",""
"10016","1.0"
"10017","1.0"
"10018","1.0"
"10019","1.0"
"10020",""
"10021",""
"10022","1.0"
"10023",""
"10024","1.0"
"10025","1.0"
"10026","1.0"
"10027","0.5"
"10028",""
"10029",""
"10030","0.5"
"10031",""
"10032","1.0"
"10033",""
"10034","1.0"
"10035",""
"10036","1.0"
"10037","1.0"
"10038","1.0"
"10039",""
"10040","1.0"
"10041","1.0"
"10042",""
"10043",""
"10044","1.0"
"10045","0.0"
"10046","1.0"
"10047","1.0"
"10048","1.0"
"10049","1.0"
"10050",""
"10051","1.0"
"10052","1.0"
"10053",""
"10054",""
"10055",""
"10056","1.0"
"10057",""
"10058",""
"10059",""
"10060","1.0"
"10061",""
"10062","1.0"
"10063","1.0"
"10064",""
"10065","0.0"
"10066",""
"10067","0.5"
"10068",""
"10069",""
"10070","1.0"
"10071","1.0"
"10072",""
"10073",""
"10074","1.0"
"10075","1.0"
"10076",""
"10077",""
"10078","1.0"
"10079","1.0"
"10080",""
"10081","0.6666666666666666"
"10082",""
"10083",""
"10084","1.0"
"10085","1.0"
"10086","1.0"
"10087",""
"10088","1.0"
"10089",""
"10090","0.0"
"10091",""
"10092","1.0"
"10093","1.0"
"10094",""
"10095",""
"10096","1.0"
"10097","0.0"
"10098","1.0"
"10099","1.0"
"10100","0.0"
"10101","1.0"
"10102",""
"10103","0.0"
"10104",""
"10105",""
"10106","1.0"
"10107","1.0"
"10108",""
"10109",""
"10110","1.0"
"10111",""
"10112",""
"10113","0.0"
"10114",""
"10115",""
"10116","1.0"
"10117","1.0"
"10118",""
"10119","1.0"
"10120",""
"10121","0.0"
"10122",""
"10123",""
"10124","0.0"
"10125","1.0"
"10126",""
"10127","0.0"
"10128",""
"10129","1.0"
"10130","1.0"
"10131",""
"10132","1.0"
"10133",""
"10134","1.0"
"10135","1.0"
"10136","1.0"
"10137","0.0"
"10138","1.0"
"10139","1.0"
"10140","1.0"
"10141","1.0"
"10142",""
"10143",""
"10144","1.0"
"10145","1.0"
"10146",""
"10147",""
"10148",""
"10149",""
"10150","1.0"
"10151",""
"10152","1.0"
"10153","1.0"
"10154","1.0"
"10155","1.0"
"10156",""
"10157","1.0"
"10158","1.0"
"10159","1.0"
"10160","1.0"
"10161",""
"10162","1.0"
"10163","1.0"
"10164","0.0"
"10165",""
"10166","1.0"
"10167",""
"10168","1.0"
"10169","0.0"
"10170","1.0"
"10171",""
"10172",""
"10173","1.0"
"10174","1.0"
"10175",""
"10176",""
"10177","1.0"
"10178","1.0"
"10179","1.0"
"10180",""
"10181","1.0"
"10182",""
"10183",""
"10184","1.0"
"10185",""
"10186",""
"10187",""
"10188",""
"10189","1.0"
"10190",""
"10191","1.0"
"10192","1.0"
"10193",""
"10194","1.0"
"10195","1.0"
"10196",""
"10197",""
"10198","0.0"
"10199","1.0"
"10200",""
"10201","1.0"
"10202","1.0"
"10203",""
"10204","1.0"
"10205",""
"10206",""
"10207",""
"10208",""
"10209",""
"10210","0.0"
"10211",""
"10212","1.0"
"10213","1.0"
"10214",""
"10215","1.0"
"10216","1.0"
"10217",""
"10218",""
"10219","1.0"
"10220",""
"10221",""
"10222","0.0"
"10223","1.0"
"10224",""
"10225","0.0"
"10226",""
"10227","1.0"
"10228","1.0"
"10229",""
"10230",""
"10231",""
"10232","1.0"
"10233","1.0"
"10234","0.0"
"10235","0.0"
"10236","1.0"
"10237","1.0"
"10238",""
"10239",""
"10240","1.0"
"10241",""
"10242","1.0"
"10243","0.0"
"10244",""
"10245","1.0"
"10246","1.0"
"10247",""
"10248","1.0"
"10249",""
"10250","1.0"
"10251","1.0"
"10252","1.0"
"10253",""
"10254",""
"10255","1.0"
"10256","1.0"
"10257","1.0"
"10258","1.0"
"10259",""
"10260","1.0"
"10261","1.0"
"10262",""
"10263","0.0"
"10264","1.0"
"10265",""
"10266",""
"10267","1.0"
"10268",""
"10269","0.5"
"10270",""
"10271",""
"10272","0.5"
"10273","1.0"
"10274",""
"10275",""
"10276","1.0"
"10277",""
"10278",""
"10279",""
"10280","1.0"
"10281","1.0"
"10282",""
"10283",""
"10284","1.0"
"10285",""
"10286","1.0"
"10287","1.0"
"10288","0.0"
"10289",""
"10290",""
"10291","0.0"
"10292","0.0"
"10293",""
"10294","1.0"
"10295",""
"10296","1.0"
"10297","0.5"
"10298","1.0"
"10299","1.0"
"10300",""
"10301",""
"10302","1.0"
"10303",""
"10304","1.0"
"10305","1.0"
"10306","0.0"
"10307","1.0"
"10308","1.0"
"10309","1.0"
"10310","1.0"
"10311","1.0"
"10312","1.0"
"10313","0.0"
"10314","1.0"
"10315","1.0"
"10316",""
"10317","1.0"
"10318","1.0"
"10319",""
"10320",""
"10321","1.0"
"10322","0.0"
"10323","1.0"
"10324","0.0"
"10325","1.0"
"10326",""
"10327","1.0"
"10328","1.0"
"10329",""
"10330","1.0"
"10331",""
"10332",""
"10333","1.0"
"10334",""
"10335",""
"10336","1.0"
"10337",""
"10338","1.0"
"10339",""
"10340","0.0"
"10341",""
"10342","1.0"
"10343",""
"10344","1.0"
"10345","1.0"
"10346",""
"10347",""
"10348",""
"10349","1.0"
"10350","1.0"
"10351","1.0"
"10352","1.0"
"10353","1.0"
"10354",""
"10355","1.0"
"10356","0.5"
"10357","0.0"
"10358","1.0"
"10359",""
"10360",""
"10361",""
"10362",""
"10363","1.0"
"10364","1.0"
"10365",""
"10366",""
"10367","1.0"
"10368","1.0"
"10369","1.0"
"10370",""
"10371","1.0"
"10372","1.0"
"10373","1.0"
"10374","1.0"
"10375","0.0"
"10376","1.0"
"10377","1.0"
"10378","1.0"
"10379","1.0"
"10380","0.0"
"10381",""
"10382","1.0"
"10383","0.0"
"10384",""
"10385","1.0"
"10386",""
"10387",""
"10388","1.0"
"10389","0.0"
"10390","1.0"
"10391",""
"10392",""
"10393",""
"10394","1.0"
"10395","1.0"
"10396",""
"10397","1.0"
"10398","1.0"
"10399","1.0"
"10400","1.0"
"10401","1.0"
"10402","0.0"
"10403","0.0"
"10404","1.0"
"10405","1.0"
"10406",""
"10407","1.0"
"10408","1.0"
"10409","1.0"
"10410","1.0"
"10411",""
"10412",""
"10413","0.5"
"10414","1.0"
"10415","0.0"
"10416","0.0"
"10417","0.0"
"10418",""
"10419","1.0"
"10420","0.0"
"10421",""
"10422","1.0"
"10423",""
"10424",""
"10425","1.0"
"10426","1.0"
"10427",""
"10428","0.0"
"10429",""
"10430","1.0"
"10431","1.0"
"10432",""
"10433","1.0"
"10434","1.0"
"10435","1.0"
"10436","0.0"
"10437","0.0"
"10438",""
"10439",""
"10440",""
"10441",""
"10442","1.0"
"10443","0.5"
"10444","1.0"
"10445",""
"10446",""
"10447",""
"10448","1.0"
"10449","1.0"
"10450",""
"10451",""
"10452","0.0"
"10453",""
"10454","1.0"
"10455",""
"10456","1.0"
"10457","0.5"
"10458","1.0"
"10459","1.0"
"10460",""
"10461",""
"10462","1.0"
"10463",""
"10464","1.0"
"10465",""
"10466","0.0"
"10467",""
"10468","1.0"
"10469","1.0"
"10470","1.0"
"10471","1.0"
"10472","1.0"
"10473","1.0"
"10474","1.0"
"10475",""
"10476",""
"10477",""
"10478","1.0"
"10479","1.0"
"10480",""
"10481",""
"10482","0.5"
"10483",""
"10484",""
"10485",""
"10486",""
"10487",""
"10488",""
"10489","0.0"
"10490",""
"10491",""
"10492","1.0"
"10493","0.0"
"10494","1.0"
"10495","1.0"
"10496","0.0"
"10497","0.0"
"10498","1.0"
"10499","0.0"
"10500",""
"10501","1.0"
"10502",""
"10503",""
"10504","0.0"
"10505",""
"10506",""
"10507",""
"10508",""
"10509","1.0"
"10510","1.0"
"10511",""
"10512",""
"10513",""
"10514","1.0"
"10515",""
"10516","1.0"
"10517","0.0"
"10518","1.0"
"10519",""
"10520","1.0"
"10521","1.0"
"10522",""
"10523",""
"10524",""
"10525","0.0"
"10526",""
"10527","1.0"
"10528",""
"10529",""
"10530",""
"10531",""
"10532",""
"10533",""
"10534",""
"10535","1.0"
"10536",""
"10537",""
"10538","0.0"
"10539","1.0"
"10540",""
"10541",""
"10542",""
"10543","0.5"
"10544",""
"10545",""
"10546","1.0"
"10547","0.0"
"10548","1.0"
"10549",""
"10550","1.0"
"10551","1.0"
"10552","1.0"
"10553",""
"10554",""
"10555","1.0"
"10556",""
"10557","1.0"
"10558",""
"10559","1.0"
"10560","1.0"
"10561","1.0"
"10562","0.5"
"10563","1.0"
"10564",""
"10565","1.0"
"10566",""
"10567","1.0"
"10568","1.0"
"10569","1.0"
"10570","1.0"
"10571",""
"10572","1.0"
"10573",""
"10574","1.0"
"10575","1.0"
"10576","0.0"
"10577",""
"10578",""
"10579",""
"10580",""
"10581","1.0"
"10582",""
"10583","0.0"
"10584",""
"10585","1.0"
"10586",""
"10587","1.0"
"10588",""
"10589",""
"10590","1.0"
"10591",""
"10592","1.0"
"10593",""
"10594","0.5"
"10595","1.0"
"10596","0.0"
"10597","1.0"
"10598",""
"10599","1.0"
"10600",""
"10601","1.0"
"10602",""
"10603",""
"10604",""
"10605",""
"10606","1.0"
"10607",""
"10608","1.0"
"10609","1.0"
"10610","1.0"
"10611","0.0"
"10612",""
"10613",""
"10614","1.0"
"10615",""
"10616",""
"10617","0.0"
"10618",""
"10619",""
"10620","1.0"
"10621","1.0"
"10622",""
"10623","0.0"
"10624","1.0"
"10625","1.0"
"10626",""
"10627","1.0"
